F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
1375336,75207,-165336,139328,424813,424813,3381922,1320582,1758355,2310676,244450,359945,-4.74,-4.74,2.29,-10.55,-12.02,-12.02,5.47,100,-0.19,10.13,51.99,92.33,39.05,75.1,45.2,104.72,154.08,84.62,84.46,60.95,-1.89,36.36,358.88,25.9,0.42,0.39,5.93,226.75,27.09,9.69,1136.91,-6.1,27.91
1436485,114021,10493,100882,438003,438003,3172434,1034739,1748213,2310676,509703,569261,0.32,0.32,3.65,0.6,0.73,0.73,7.94,100,1.1,7.02,55.11,81.47,32.62,59.19,42.16,105.17,146.51,82.91,82.66,106.8,7.75,38.43,547.2,37.37,0.46,0.44,5.64,923.68,50.07,4.45,51.61,-6.19,-0.58
1444411,53228,-208840,98814,452788,452788,2980101,993690,1567587,2310676,526840,607077,-6.79,-6.59,1.91,-12.6,-14.46,-14.03,3.69,100,-1.11,6.84,52.6,90.11,33.34,63.39,38,110.57,168.18,57.71,57.69,100.66,-7.19,35.03,512.09,32.59,0.52,0.47,5.63,1475.75,52.45,0.55,-53.32,-6.06,-10.33
641072,20592,12673,6219,15910,6811,424968,124909,225551,15671,7843,15722,2.9,4.03,5.24,5.72,1.98,2.75,3.21,29.15,3.83,0.97,53.07,88.41,29.39,55.38,37.93,55.31,83.24,277.3,138.02,112.21,3.72,5.74,591.43,19.46,1.63,1.47,11.39,5.52,19.84,1.33,-27.08,-5.35,3.55
1864460,104670,7956,111794,93290,13324,2606989,1325724,639159,147413,93869,214454,0.3,0.67,5.9,1.23,0.43,0.96,5.61,31.85,1.16,6,24.52,307.88,50.85,207.42,150.14,121.94,314.29,62.33,33.53,34.11,6.95,11.19,186.59,6.05,1.05,0.7,8.17,6.41,8.65,-8.51,64.64,-3.41,-3.04
1927984,43022,23228,101346,114792,14667,2477696,1201427,616615,148199,-84486,88388,0.91,3.66,2.5,3.7,1.2,4.83,2.23,31.42,1.92,5.26,24.89,301.82,48.49,194.84,158.28,121.09,294.91,67.54,40.45,37.7,10.09,9.08,172.66,2.27,1.12,0.76,6.57,7.13,9.67,3.41,-58.9,-4.96,-3.53
513375,43280,20366,13980,12665,4507,693916,264512,335938,29392,26093,46480,3.11,4.49,13.55,6.52,3.97,5.73,8.43,37.17,3.1,2.72,48.41,106.56,38.12,78.74,48.81,107.43,169.46,76,54.24,44.53,8.45,10.95,402.24,12.94,1.61,0.78,6.12,16.92,12.06,0.38,-12.38,12.83,16.24
537536,40602,37314,13668,13968,4393,744719,312064,327020,29503,35904,52816,5.19,6.4,12.16,11.26,6.94,8.56,7.55,38.25,4.37,2.54,43.91,127.73,41.9,95.43,62.77,112.28,185.22,67.72,49.53,48.25,11.1,10.22,401.86,11.88,1.61,0.75,5.88,14.73,12.93,4.71,-6.19,7.32,-2.65
1283600,44309,20851,49388,46986,4001,1432803,658005,530589,46158,17399,81334,1.43,2.82,4.27,4,1.62,3.2,3.45,21.86,1.83,3.85,37.03,170.04,45.92,124.01,131.73,125.54,173.63,73.18,32.96,23.4,7.05,7.49,194.66,7.68,1.24,0.88,10.35,3.85,10.55,20.22,73.16,-3.41,3.63
852602,133518,64944,68102,71913,4004,2867192,1629852,926992,100205,189605,255310,2.75,3.88,7.89,7.2,7.62,10.74,15.66,50.48,2.34,7.99,32.33,209.3,56.84,175.82,93.25,123.9,267.69,44.62,36.01,32.39,18.73,24.16,302.5,9.3,0.5,0.36,3.02,11.37,30.16,-0.95,-20.82,54.69,5.77
892863,201514,93041,68688,70602,4402,2674500,1055451,1225896,110205,155674,272749,3.36,5.1,12.04,8.64,10.42,15.83,22.57,53.21,3.06,7.69,45.84,118.17,39.46,86.1,70.62,123.65,182.45,50.58,42.54,42.19,23.53,30.51,396.56,12.11,0.53,0.32,3.15,12.39,35.2,4.72,50.93,-6.72,32.24
795024,41419,13047,37058,16791,2572,879135,428764,321840,49645,32129,58754,1.5,1.96,5.9,4.2,1.64,2.14,5.21,16.41,1.46,4.66,36.61,173.16,48.77,133.22,131.34,132.11,187.36,65.33,25.92,20.79,6.8,7.71,165.38,7.86,1.13,0.92,17.45,4.78,8.1,7.11,-21.03,2.56,7.45
1068282,89675,40965,34779,17456,2861,976639,400740,374780,49645,42960,81630,4.41,5.87,11.64,11.76,3.83,5.1,8.39,18.96,2.57,3.26,38.37,160.59,41.03,106.93,134.86,127.18,159.9,74.66,26.15,26.69,8.35,10.24,314.48,13.82,1.39,1.15,19.94,5.19,8.49,34.37,116.51,11.09,16.45
